city,state_id,county_name,population,density,zips
Georgiana,AL,Butler,1632,101,36033
Oak Grove,AL,Talladega,516,112,35151 35150
Dothan,AL,Houston,71620,293,36303 36301 36305 36321 36302 36304
Valley Head,AL,DeKalb,550,61,35989
Eva,AL,Morgan,505,47,35621
Reece City,AL,Etowah,627,68,35954
Hanceville,AL,Cullman,3352,290,35077
Priceville,AL,Morgan,3916,230,35603
Calvert,AL,Mobile,1101,181,36513 36560
Bessemer,AL,Jefferson,26386,251,35022 35020
Owens Cross Roads,AL,Madison,1939,90,35763
Cordova,AL,Walker,1957,129,35550
Highland Lakes,AL,Shelby,5394,554,35242
Joppa,AL,Cullman,570,113,35016 35087
Paint Rock,AL,Jackson,204,181,35764 35776
Hazel Green,AL,Madison,3554,136,35750
Grand Bay,AL,Mobile,4076,181,36541
White Plains,AL,Calhoun,858,25,36207
Nances Creek,AL,Calhoun,430,28,36265 36272
Point Clear,AL,Baldwin,2761,222,36564 36532
Butler,AL,Choctaw,1738,99,36904
Fayette,AL,Fayette,3210,196,35555
Autaugaville,AL,Autauga,855,42,36003
Deatsville,AL,Elmore,1164,94,36054 36022
Summerdale,AL,Baldwin,1379,53,36535 36580
Sweet Water,AL,Marengo,237,38,36782
Fort Payne,AL,DeKalb,7048,96,35967 35968
Brookside,AL,Jefferson,1329,80,35214 35117 35036
Arley,AL,Winston,346,35,35541
Bakerhill,AL,Barbour,255,35,36027
Oak Hill,AL,Wilcox,23,15,36768 36766
Gaylesville,AL,Cherokee,142,159,35973
Pinson,AL,Jefferson,7532,272,35215 35126 35123
Coffee Springs,AL,Geneva,226,111,36318
Mount Vernon,AL,Mobile,1501,105,36560
Pennington,AL,Choctaw,208,40,36916
Rutledge,AL,Crenshaw,464,30,36049 36071
Brewton,AL,Escambia,6648,180,36426 36427
Goshen,AL,Pike,253,38,36035
Fredonia,AL,Chambers,299,9,36855 36863
Cedar Bluff,AL,Cherokee,1798,142,35959
Wilsonville,AL,Shelby,2005,73,35186
Pisgah,AL,Jackson,701,56,35765
Lakeview,AL,DeKalb,144,88,35971
Chickasaw,AL,Mobile,5794,531,36611 36671
Morris,AL,Jefferson,1970,247,35071 35116
Bon Air,AL,Talladega,113,32,35150 35044 35032
Level Plains,AL,Dale,2029,255,36330 36322
Sand Rock,AL,Cherokee,554,51,35983
Babbie,AL,Covington,599,20,36467 36421
Rehobeth,AL,Houston,1530,78,36301
York,AL,Sumter,2280,128,36925
Vincent,AL,Shelby,2162,40,35178
Waterloo,AL,Lauderdale,200,103,35677
Reeltown,AL,Tallapoosa,345,17,36078 36866
Ethelsville,AL,Pickens,73,49,35461
Forkland,AL,Greene,600,66,36740
New Hope,AL,Madison,2842,126,35760
Bon Secour,AL,Baldwin,1078,96,36511 36535
Pickensville,AL,Pickens,580,28,35447
Five Points,AL,Chambers,141,52,36855
Brundidge,AL,Pike,1952,77,36010
Clio,AL,Barbour,1476,56,36017
Eufaula,AL,Barbour,8727,78,36027 36072
Emerald Mountain,AL,Elmore,3104,74,36093 36078
Ray,AL,Coosa,320,15,35010
Centre,AL,Cherokee,3716,120,35960
Mount Olive,AL,Jefferson,3917,164,35117
Rock Mills,AL,Randolph,540,32,36274
Blountsville,AL,Blount,1670,118,35031
Abanda,AL,Chambers,174,22,36276
Movico,AL,Mobile,102,50,36560
Graysville,AL,Jefferson,2094,47,35073
Indian Springs Village,AL,Shelby,2606,259,35242 35124
Cuba,AL,Sumter,303,28,36907
Silas,AL,Choctaw,423,31,36919
Alabaster,AL,Shelby,33202,507,35114 35007 35144
Prichard,AL,Mobile,21732,331,36616 36610 36613 36612 36663
Perdido,AL,Baldwin,745,25,36562
Reform,AL,Pickens,1592,76,35481
Homewood,AL,Jefferson,25476,1179,35229 35209 35219 35293
Hokes Bluff,AL,Etowah,4269,138,35903 35905
Susan Moore,AL,Blount,768,56,35952 35031 35121
Tuskegee,AL,Macon,8258,204,36088 36083 36087
Avon,AL,Houston,514,76,36312
Mentone,AL,DeKalb,368,30,35984
St. Stephens,AL,Washington,486,18,36569
New Union,AL,Etowah,1100,34,35956
Pine Level,AL,Autauga,4537,70,36067 36022
Oneonta,AL,Blount,5432,162,35121
Holly Pond,AL,Cullman,815,70,35055 35083
Dadeville,AL,Tallapoosa,3106,75,36853
Trinity,AL,Morgan,2156,168,35673
Beatrice,AL,Monroe,280,79,36425
