Geographic area,Area in square miles - Total area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Chester County,759.23,664.7,256.4
Clarion County,609.84,66.6,33.2
Clearfield County,1153.96,71.3,33.8
Clinton County,896.93,44.2,21.5
Columbia County,490.16,139.3,61.1
Crawford County,1037.51,87.7,44.1
Cumberland County,550.3,431.6,183.3
Dauphin County,558.18,510.6,229.3
Delaware County,190.6,3040.5,1212.5
Elk County,832.31,38.6,21.3
Erie County,1558.23,351.1,149.1
Fayette County,798.31,172.8,79.4
Forest County,430.5,18.1,20.5
Franklin County,772.82,193.7,81.9
Fulton County,438.06,33.9,16.3
Greene County,577.98,67.2,28.6
Huntingdon County,889.27,52.5,25.6
Indiana County,834.29,107.5,46.2
Jefferson County,656.8,69.3,34.4
Juniata County,393.51,63,28.1
Lackawanna County,464.91,467.1,210.9
Lancaster County,983.8,550.4,215
Lawrence County,362.72,254.4,114.4
Lebanon County,362.5,369.1,153.6
Lehigh County,348.24,1012.5,413.2
Luzerne County,906.26,360.4,167.1
Lycoming County,1243.84,94.5,42.7
McKean County,984.22,44.4,21.7
Mercer County,682.61,173.4,76.9
Mifflin County,414.72,113.6,52.4
Monroe County,617.26,279.2,132.1
Montgomery County,487.19,1655.9,674.3
Montour County,132.33,140.3,61.2
Northampton County,377.4,805.4,325.6
Northumberland County,477.52,206.2,98.4
Perry County,555.54,83.4,37
Philadelphia County,142.71,11379.5,4997.5
Pike County,566.85,105.3,70.4
Potter County,1081.54,16.1,12
Schuylkill County,782.81,190.4,89
Snyder County,331.52,120.8,48.8
Somerset County,1080.93,72.4,35.5
Sullivan County,452.49,14.3,14
Susquehanna County,832.14,52.7,27.9
Tioga County,1136.97,37,18.8
Union County,317.78,142.2,53.8
Venango County,682.84,81.5,40.7
Warren County,898.56,47.3,26.6
Washington County,860.91,242.5,108.5
Wayne County,750.61,72.8,43.6
Westmoreland County,1036.07,355.4,163.7
Wyoming County,405.05,71.2,33.4
York County,910.72,481.1,197.6
Rhode Island,1544.89,1018.1,448.2
Bristol County,44.75,2064,862.8
Kent County,188.12,985.9,437.3
Newport County,313.59,809.6,408.2
Providence County,435.66,1530.3,646.7
Washington County,562.76,385.7,188.9
South Carolina,32020.49,153.9,71.1
Abbeville County,510.99,51.8,24.6
Aiken County,1080.6,149.5,67.5
Allendale County,412.42,25.5,11
Anderson County,757.44,261.6,118.5
Bamberg County,395.56,40.6,19.6
Barnwell County,557.26,41.2,19.1
Beaufort County,923.4,281.5,161.4
Berkeley County,1229.24,161.8,66.8
Calhoun County,392.48,39.8,19.3
Charleston County,1358,382.3,185.6
Cherokee County,397.18,140.9,61.1
Chester County,586.16,57.1,25.3
Chesterfield County,805.75,58.5,26.9
Clarendon County,695.65,57.6,28.8
Colleton County,1133.29,36.8,18.8
Darlington County,566.8,122.4,54
Dillon County,406.59,79.2,33.9
Dorchester County,575.81,238.2,96.3
Edgefield County,506.7,53.9,21.1
Fairfield County,709.88,34.9,17
Florence County,803.73,171.1,73.3
Georgetown County,1034.65,73.9,41.4
Greenville County,794.87,574.7,249
Greenwood County,462.93,153.2,68.3
Hampton County,562.71,37.7,16.3
Horry County,1255,237.5,164
Jasper County,699.36,37.8,15.7
Kershaw County,740.4,84.9,37.8
Lancaster County,555.12,139.6,59.5
Laurens County,723.84,93.2,43
Lee County,411.23,46.9,19
Lexington County,757.73,375.4,163
McCormick County,393.87,28.5,15.2
Marion County,494.14,67.6,30.6
Marlboro County,485.27,60.3,25.2
Newberry County,647.29,59.5,28.4
Oconee County,673.51,118.6,61.9
Orangeburg County,1127.9,83.6,38.4
Pickens County,512.03,240.2,103.2
Richland County,771.71,507.9,213.6
Saluda County,461.82,43.9,20.5
Spartanburg County,819.24,351.9,151.8
Sumter County,682.08,161.6,69.2
Union County,516.03,56.3,27.5
Williamsburg County,937.04,36.8,16.4
York County,695.81,332.2,138.4
South Dakota,77115.68,10.7,4.8
Aurora County,712.75,3.8,1.9
Beadle County,1264.81,13.8,6.6
Bennett County,1190.5,2.9,1.1
Bon Homme County,581.66,12.5,5.2
Brookings County,804.94,40.3,16.6
Brown County,1730.95,21.3,9.8
Brule County,846.48,6.4,3
Buffalo County,487.74,4.1,1.3
Butte County,2266.4,4.5,2.1
Campbell County,770.84,2,1.3
Charles Mix County,1150.23,8.3,3.5
Clark County,967.5,3.9,1.8
Clay County,417.24,33.6,13.7
Codington County,717.16,39.5,18
Corson County,2529.65,1.6,0.6
Custer County,1559.12,5.3,3
Davison County,436.92,44.8,20.3
Day County,1091.09,5.6,3.5
Deuel County,636.61,7,3.5
Dewey County,2445.28,2.3,0.9
Douglas County,433.67,7,3.3
Edmunds County,1151.07,3.6,1.7
Fall River County,1749.15,4.1,2.4
Faulk County,1005.96,2.4,1.2
Grant County,687.54,10.8,5.2
Gregory County,1053.53,4.2,2.5
Haakon County,1826.92,1.1,0.6
Hamlin County,538.07,11.6,5.4
Hand County,1440.18,2.4,1.3
Hanson County,435.37,7.7,2.7
Harding County,2677.92,0.5,0.3
Hughes County,800.73,23,10.3
Hutchinson County,814.42,9,4.1
Hyde County,866.14,1.7,0.8
Jackson County,1871.29,1.6,0.6
Jerauld County,532.67,3.9,2
Jones County,970.89,1,0.6
Kingsbury County,863.76,6.2,3.3
Lake County,575.16,19.9,9.9
Lawrence County,800.31,30.1,15.9
Lincoln County,577.75,77.7,31
Lyman County,1706.67,2.3,1
McCook County,576.87,9.8,4.3
McPherson County,1151.54,2.2,1.2
Marshall County,886.22,5.6,3
Meade County,3482.85,7.3,3.2
Mellette County,1310.87,1.6,0.6
Miner County,571.93,4.2,2.3
Minnehaha County,813.86,210,88.7
Moody County,520.81,12.5,5.4
Pennington County,2784.26,36.4,16.2
Perkins County,2889.99,1,0.6
Potter County,898.67,2.7,1.7
Roberts County,1135.77,9.2,4.5
Sanborn County,570.48,4.1,2.1
Shannon County,2096.65,6.5,1.7
Spink County,1509.74,4.3,2.1
Stanley County,1517.17,2.1,1
Sully County,1070.29,1.4,0.8
Todd County,1390.82,6.9,2.3
Tripp County,1617.57,3.5,1.9
Turner County,617.69,13.5,6.4
Union County,467.13,31.3,13.6
Walworth County,744.62,7.7,4.2
Yankton County,532.22,43.1,18.5
Ziebach County,1970.62,1.4,0.5
Tennessee,42144.25,153.9,68.2
Anderson County,344.8,222.8,103
Bedford County,474.79,95.1,38.8
Benton County,436.23,41.8,22.8
Bledsoe County,406.75,31.7,14.1
Blount County,566.55,220.2,98.9
Bradley County,331.45,301,125.9
Campbell County,498.15,84.8,41.6
Cannon County,265.7,52,22.7
Carroll County,600.08,47.6,22
Carter County,347.63,168.3,81.3
Cheatham County,307.06,129.3,51.8
Chester County,285.96,60,24.4
Claiborne County,441.57,74.1,34.2
Clay County,259.34,33.2,18.1
Cocke County,443.14,82.1,40.2
Coffee County,434.55,123.1,54.6
Crockett County,265.74,54.9,24.2
Cumberland County,684.82,82.3,41.3
Davidson County,525.94,1243.3,563.4
Decatur County,344.88,35.2,20.6
DeKalb County,328.99,61.5,30.9
Dickson County,491.32,101.4,42.5
Dyer County,526.53,74.8,32.6
Fayette County,706.24,54.5,22.2
Fentress County,498.93,36,18
Franklin County,575.74,74,33.7
Gibson County,603.65,82.4,36.5
Giles County,611.17,48.3,22.7
Grainger County,302.46,80.7,38.8
Greene County,624.12,110.6,51.5
Grundy County,361.12,38,17.7
Hamblen County,175.8,388,167.3
Hamilton County,575.88,620.3,278.6
Hancock County,223.49,30.7,16.3
Hardeman County,670.38,40.8,16.2
Hardin County,596.29,45.1,24.2
Hawkins County,499.6,116.7,55.2
Haywood County,534.06,35.2,15.6
Henderson County,525.88,53.4,24.6
Henry County,593.42,57.5,30.3
Hickman County,612.63,40.3,16.8
Houston County,206.97,42.1,20.9
Humphreys County,556.7,34.9,16.7
Jackson County,319.52,37.7,19
Jefferson County,314.3,187.6,85.7
Johnson County,302.72,61.1,30
Knox County,525.87,850.5,383.6
Lake County,193.89,47.2,15.7
Lauderdale County,507.58,58.9,23.8
Lawrence County,617.99,67.8,29.5
Lewis County,282.49,43.1,19.4
Lincoln County,570.72,58.5,26.7
Loudon County,247.37,211.8,94.8
McMinn County,432.18,121.5,54.3
McNairy County,563.61,46.3,21.2
Macon County,307.24,72.4,32.1
Madison County,558.63,176.4,75.2
Marion County,512.25,56.7,26
Marshall County,376.16,81.5,34.9
Maury County,615.58,132,57.5
Meigs County,216.75,60.2,28.8
Monroe County,652.56,70,32.7
Montgomery County,543.83,319.6,130
Moore County,130.42,49.2,22.6
Morgan County,522.49,42.1,17.1
Obion County,555.51,58.4,26.9
Overton County,434.83,50.9,23.7
Perry County,422.87,19.1,11.1
Pickett County,174.49,31.2,21.2
Polk County,442.33,38.7,18.4
Putnam County,402.56,180.3,79.5
Rhea County,336.41,100.9,45.5
Roane County,394.98,150.2,71.3
Robertson County,476.46,139.2,54.8
Rutherford County,624.05,424,166.2
Scott County,533.23,41.8,18.6
Sequatchie County,266.04,53.1,24
Sevier County,597.72,151.7,94.4
Shelby County,785.02,1215.5,521.9
Smith County,325.37,61,27.1
Stewart County,493.01,29,14.8
Sullivan County,429.71,379.4,178.4
Sumner County,543.22,303.4,124.6
Tipton County,473.31,133.3,50.6
Trousdale County,116.64,68.9,29.5
Unicoi County,186.49,98.4,47.4
Union County,247.14,85.5,40.1
Van Buren County,274.53,20.3,9.7
Warren County,434.03,92.1,41.2
Washington County,329.8,376.7,175.4
Wayne County,735.65,23.2,9.9
Weakley County,581.78,60.3,26.7
White County,379.43,68.6,30.6
Williamson County,583.77,314.4,117.6
Wilson County,583.2,199.7,79.8
Texas,268596.46,96.3,38.2
Anderson County,1078,55,18.9
Andrews County,1501.08,9.9,3.9
Angelina County,864.71,108.8,44.6
Aransas County,527.99,91.9,60.9
Archer County,925.42,10,4.5
Armstrong County,913.83,2.1,1
Atascosa County,1221.47,36.8,14.5
Austin County,656.38,44,20
Bailey County,827.48,8.7,3.4
Bandera County,797.64,25.9,14.6
Bastrop County,895.55,83.5,33
Baylor County,901.07,4.3,3.1
Bee County,880.33,36.2,12.1
Bell County,1087.84,295.2,119.4
Bexar County,1256.09,1383.1,534.7
Blanco County,713.43,14.8,7.8
Borden County,906.05,0.7,0.4
Bosque County,1002.54,18.5,9.8
Bowie County,922.97,104.6,43.5
Brazoria County,1608.59,230.7,87.2
Brazos County,591.24,332.8,132.7
Brewster County,6192.25,1.5,0.9
Briscoe County,901.57,1.8,1.1
Brooks County,943.65,7.7,3.4
Brown County,956.95,40.3,19.4
Burleson County,676.81,26.1,13.4
Burnet County,1021.26,43,21
Caldwell County,547.16,69.8,25.2
Calhoun County,1032.68,42.2,22.5
Callahan County,901.26,15.1,7.3
Cameron County,1276.46,456,159.3
Camp County,203.23,63.3,28.9
Carson County,924.11,6.7,3
Cass County,960.32,32.5,15.3
Castro County,899.29,9,3.5
Chambers County,871.18,58.8,22.3
Cherokee County,1062.19,48.3,19.8
Childress County,713.72,10.1,4.1
Clay County,1116.75,9.9,4.7
Cochran County,775.24,4,1.8
Coke County,927.99,3.6,2.9
Coleman County,1281.43,7,4.4
Collin County,886.1,930,357.8
Collingsworth County,919.32,3.3,1.8
Colorado County,973.69,21.7,11
Comal County,574.88,193.9,84.2
Comanche County,947.68,14.9,7.7
Concho County,993.69,4.2,1.7
Cooke County,898.44,43.9,19
Coryell County,1056.76,71.7,23.9
Cottle County,901.62,1.7,1.1
Crane County,785.72,5.6,2.1
Crockett County,2807.35,1.3,0.7
Crosby County,901.69,6.7,3.2
Culberson County,3813.01,0.6,0.3
Dallam County,1505.26,4.5,1.9
Dallas County,908.61,2718,1082.6
Dawson County,902.13,15.4,5.8
Deaf Smith County,1498.38,12.9,4.7
Delta County,277.93,20.4,9.6
Denton County,952.98,754.3,291.6
DeWitt County,910.49,22.1,10.1
Dickens County,905.22,2.7,1.4
Dimmit County,1334.51,7.5,3.3
Donley County,933.05,4,2.3
Duval County,1795.6,6.6,3.1
Eastland County,931.91,20.1,11.1
Ector County,901.78,152.8,59.1
Edwards County,2119.87,0.9,0.8
Ellis County,951.75,159.9,58.1
El Paso County,1014.96,790.6,266.9
Erath County,1089.81,35,15.7
Falls County,773.84,23.3,10.1
Fannin County,898.88,38.1,15.9
Fayette County,959.81,25.8,14.6
Fisher County,901.75,4.4,2.5
Floyd County,992.52,6.5,3
Foard County,707.68,1.9,1.1
Fort Bend County,885.34,679.5,228.7
Franklin County,294.77,37.3,20.3
Freestone County,891.99,22.6,10.6
Frio County,1134.35,15.2,5.2
Gaines County,1502.86,11.7,4.2
Galveston County,873.81,769.9,350.2
Garza County,896.2,7.2,2.5
Gillespie County,1061.68,23.5,12.1
Glasscock County,901.08,1.4,0.6
Goliad County,859.37,8.5,4.4
Gonzales County,1069.85,18.6,8.2
Gray County,929.33,24.3,11
Grayson County,979.18,129.6,57.6
Gregg County,275.76,445.4,181.2
Grimes County,801.6,33.8,13.9
Guadalupe County,714.81,184.9,70.3
Hale County,1004.78,36.1,13.5
Hall County,904.1,3.8,2.2
Hamilton County,836.39,10.2,5.5
Hansford County,920.41,6.1,2.5
Hardeman County,696.87,6,3.5
Hardin County,897.55,61.3,25.4
Harris County,1777.48,2402.4,938.5
Harrison County,915.75,72.9,30.8
Hartley County,1463.2,4.1,1.3
Haskell County,910.26,6.5,3.8
Hays County,679.92,231.7,87.6
Hemphill County,912.16,4.2,1.8
Henderson County,948.33,89.9,45.3
Hidalgo County,1582.91,493.2,158.1
Hill County,985.72,36.6,16.8
Hockley County,908.56,25.2,10.2
Hood County,436.83,121.7,59.3
Hopkins County,792.77,45.8,19.6
Houston County,1236.57,19.3,9.4
Howard County,904.21,38.9,14.6
Hudspeth County,4571.83,0.8,0.3
Hunt County,882.02,102.5,43.7
Hutchinson County,894.95,25,12
Irion County,1051.63,1.5,0.8
Jack County,920.13,9.9,4.5
Jackson County,856.87,17,7.9
Jasper County,969.7,38,17.9
Jeff Davis County,2264.63,1,0.7
Jefferson County,1112.65,287.9,119.2
Jim Hogg County,1136.17,4.7,2.1
Jim Wells County,868.34,47.2,18.7
Johnson County,734.46,208.3,78.3
Jones County,937.14,21.8,8
Karnes County,753.55,19.8,7.6
Kaufman County,807.66,132.4,49.1
Kendall County,663.03,50.4,21.2
Kenedy County,1945.8,0.3,0.2
Kent County,902.92,0.9,0.6
Kerr County,1107.28,45,21.6
Kimble County,1251.18,3.7,2.7
King County,913.34,0.3,0.2
Kinney County,1365.12,2.6,1.4
Kleberg County,1090.21,36.4,14.5
Knox County,855.48,4.4,2.4
Lamar County,933.1,54.9,24.8
Lamb County,1017.72,13.8,6
Lampasas County,713.93,27.6,12.2
La Salle County,1494.23,4.6,1.8
Lavaca County,970.44,19.9,10.7
Lee County,634.1,26.4,11.9
Leon County,1080.62,15.7,8.9
Liberty County,1176.34,65.3,24.8
Limestone County,933.16,25.8,11.6
Lipscomb County,932.29,3.5,1.6
Live Oak County,1078.88,11.1,5.8
Llano County,965.86,20.7,15.3
Loving County,676.71,0.1,0.1
Lubbock County,900.7,311.3,128.5
Lynn County,893.48,6.6,3
McCulloch County,1073.43,7.8,4
McLennan County,1060.23,226.5,91.7
McMullen County,1156.79,0.6,0.4
Madison County,472.43,29.3,10.9
Marion County,420.32,27.7,16.3
Martin County,915.69,5.2,2
Mason County,932.21,4.3,2.9
Matagorda County,1612.51,33.4,17.1
Maverick County,1291.78,42.4,13.7
Medina County,1334.53,34.7,13.6
Menard County,902.27,2.5,1.9
Midland County,902.05,152,60.4
Milam County,1021.77,24.3,11.1
Mills County,749.77,6.6,3.8
Mitchell County,915.91,10.3,4.5
Montague County,938.28,21.2,10.9
Montgomery County,1076.88,437.5,170.5
Moore County,909.62,24.3,8.8
Morris County,258.7,51.3,23.9
Motley County,989.81,1.2,0.8
Nacogdoches County,981.19,68.2,29
Navarro County,1085.94,47.3,20
Newton County,939.73,15.5,7.6
Nolan County,913.95,16.7,7.8
Nueces County,1165.6,405.8,168.2
Ochiltree County,918.14,11.1,4.4
Oldham County,1501.44,1.4,0.6
Orange County,379.53,245.3,105.8
Palo Pinto County,985.51,29.5,16
Panola County,821.3,29.7,13.6
Parker County,910.09,129.4,51.6
Parmer County,885.16,11.7,4.3
Pecos County,4764.82,3.3,1.2
Polk County,1109.66,43,21.5
Potter County,921.99,133.3,52
Presidio County,3855.92,2,1
Rains County,258.83,47.6,23
Randall County,922.43,132.4,56.6
Reagan County,1175.99,2.9,1.2
Real County,700.1,4.7,3.7
Red River County,1056.74,12.4,6.6
Reeves County,2642.09,5.2,1.8
Refugio County,818.24,9.6,4.8
Roberts County,924.19,1,0.5
Robertson County,865.35,19.4,9.9
Rockwall County,148.72,616.7,219.9
Runnels County,1057.1,10,5
Rusk County,938.41,57.7,22.9
Sabine County,576.65,22,16.3
San Augustine County,592.3,16.7,10.1
San Jacinto County,627.91,46.3,23.2
San Patricio County,707.94,93.5,38.2
San Saba County,1138.41,5.4,2.8
Schleicher County,1310.66,2.6,1.1
Scurry County,907.54,18.7,7.7
Shackelford County,915.55,3.7,1.9
Shelby County,834.62,32,14.9
Sherman County,923.2,3.3,1.4
Smith County,949.72,227.6,94.8
Somervell County,191.95,45.5,19.7
Starr County,1229.09,49.8,16
Stephens County,921.48,10.7,5.5
Sterling County,923.52,1.2,0.7
Stonewall County,920.24,1.6,1
Sutton County,1454.42,2.8,1.4
Swisher County,900.69,8.8,3.6
Tarrant County,902.3,2094.7,827.7
Taylor County,919.3,143.6,60.9
Terrell County,2358.07,0.4,0.3
Terry County,890.94,14.2,5.4
Throckmorton County,915.48,1.8,1.2
Titus County,425.64,79.6,29.7
Tom Green County,1540.55,72.4,30.6
Travis County,1023.01,1034.4,445.6
Trinity County,713.97,21,12.6
Tyler County,935.62,23.5,11.4
Upshur County,592.6,67.4,28.5
Upton County,1241.5,2.7,1.2
Uvalde County,1558.63,17,7
Val Verde County,3232.67,15.5,5.9
Van Zandt County,859.61,62.4,27.1
Victoria County,888.84,98.4,40.1
Walker County,801.5,86.5,30.7
Waller County,517.82,84.1,30.8
Ward County,835.84,12.8,5.6
Washington County,621.75,55.8,25.7
Webb County,3375.59,74.5,21.9
Wharton County,1094.37,38,15.8
Wheeler County,915.48,5.9,3
Wichita County,633.12,209.5,88.5
Wilbarger County,977.89,13.9,6.5
Willacy County,784.27,37.5,11.9
Williamson County,1134.44,378,145.6
Wilson County,808.41,53.4,20.9
Winkler County,841.27,8.5,3.6
Wise County,922.58,65.4,26.3
Wood County,695.72,65,32.3
Yoakum County,799.72,9.9,3.7
Young County,930.86,20.3,9.4
Zapata County,1058.02,14,6.2
Zavala County,1301.73,9,3.3
Utah,84896.88,33.6,11.9
Beaver County,2591.94,2.6,1.1
Box Elder County,6729.32,8.7,3
Cache County,1173.02,96.7,31.8
Carbon County,1484.58,14.5,6.5
Daggett County,720.71,1.5,1.6
Davis County,633.96,1025.8,326.6
Duchesne County,3255.92,5.7,2.9
Emery County,4471.81,2.5,1
Garfield County,5208.25,1,0.7
Grand County,3683.68,2.5,1.3
Iron County,3301.08,14,6
Juab County,3406.4,3,1
Kane County,4108.52,1.8,1.5
Millard County,6827.89,1.9,0.8
Morgan County,610.91,15.5,4.9
Piute County,765.72,2.1,1.2
Rich County,1086.36,2.2,2.8
Salt Lake County,807.37,1387.1,490.4
San Juan County,7933.15,1.9,0.7
Sanpete County,1602.54,17.5,6.5
Sevier County,1918.4,10.9,4.4
Summit County,1881.97,19.4,14.2
Tooele County,7286.08,8.4,2.8
Uintah County,4501.39,7.3,2.7
Utah County,2144.11,257.8,74
Wasatch County,1205.99,20,9
Washington County,2429.95,56.9,23.8
Wayne County,2466.49,1.1,0.6
Weber County,659.39,401.4,149.6
Vermont,9616.36,67.9,35
Addison County,807.76,48,21.9
Bennington County,677.66,55,31
Caledonia County,657.54,48.1,24.6
Chittenden County,619.3,291.7,122.5
Essex County,675.29,9.5,7.6
Franklin County,691.98,75.3,34.1
Grand Isle County,194.67,85.2,61.7
Lamoille County,463.69,53.3,28.3
Orange County,692.27,42.1,21.6
Orleans County,721.16,39.3,23.3
Rutland County,944.78,66.3,36.3
Washington County,695.42,86.6,43.6
Windham County,798.07,56.7,37.9
Windsor County,976.78,58.5,35.2
Virginia,42774.93,202.6,85.2
Accomack County,1310.04,73.8,46.7
Albemarle County,726.12,137.3,58.4
Alleghany County,448.75,36.5,18.1
Amelia County,358.52,35.7,15.1
Amherst County,478.85,68.3,29.5
Appomattox County,334.73,44.9,20.8
Arlington County,26.07,7993.5,4058
Augusta County,970.86,76.3,32.3
Bath County,534.58,8.9,6.2
Bedford County,769.25,91.2,42.4
Bland County,358.73,19.1,9.1
Botetourt County,545.91,61.2,26.9
Brunswick County,569.38,30.8,14.4
Buchanan County,503.84,47.9,23
Buckingham County,583.56,29.6,12.5
Campbell County,507.33,108.8,49.2
Caroline County,536.87,54.1,22.2
Carroll County,477.64,63.3,34.9
Charles City County,204.24,39.7,17.7
Charlotte County,477.52,26.5,13.2
Chesterfield County,436.95,747.1,289.5
Clarke County,178.36,79.7,35.4
Craig County,330.61,15.7,8.5
Culpeper County,382.54,123.1,46.6
Cumberland County,299.75,33.8,15.6
Dickenson County,333.66,48.1,22.9
Dinwiddie County,507.19,55.6,22.7
Essex County,286,43.4,22.4
Fairfax County,406.25,2766.8,1043.6
Fauquier County,651.23,100.7,39.5
Floyd County,381.29,40.2,20.5
Fluvanna County,290.15,89.8,36.3
Franklin County,711.55,81.3,42.5
Frederick County,415.51,189.4,75.8
Giles County,360.42,48.6,23.4
Gloucester County,287.98,169.2,72.8
Goochland County,289.9,77.2,30.6
Grayson County,445.96,35.1,20.7
Greene County,156.91,117.8,48.1
Greensville County,296.81,41.5,13.9
Halifax County,829.63,44.3,22
Hanover County,473.81,213.1,81.9
Henrico County,244.91,1313.4,568.2
Henry County,384.38,141.6,68.7
Highland County,415.85,5.6,4.4
Isle of Wight County,362.83,111.8,46.4
James City County,179.24,470.4,209.2
King and Queen County,326.29,22,10.8
King George County,187.76,131.3,52.8
King William County,285.63,58.2,23.8
Lancaster County,231.4,85.5,55.5
Lee County,437.41,58.8,27
Loudoun County,521.14,605.8,212.3
Louisa County,510.87,66.8,32.9
Lunenburg County,432.38,29.9,13.7
Madison County,321.87,41.5,18.5
Mathews County,251.96,104.5,66
Mecklenburg County,679.23,52.3,29.7
Middlesex County,210.76,84.1,54.7
Montgomery County,389.26,243.9,99.7
Nelson County,474.31,31.9,21.1
New Kent County,223.47,87.9,34.8
Northampton County,795.25,58.5,34.5
Northumberland County,285.62,64.5,47
Nottoway County,316.05,50.4,21.2
Orange County,343.26,98.2,42.9
Page County,314.08,77.3,37.3
Patrick County,485.86,38.3,20.9
Pittsylvania County,978.18,65.5,32.3
Powhatan County,262.35,107.8,38.6
Prince Edward County,353.84,66.8,26.1
Prince George County,281.84,134.7,45.5
Prince William County,348.47,1195,407.6
Pulaski County,329.59,109,53.9
Rappahannock County,267.03,27.7,14.4
Richmond County,216.36,48.3,20.1
Roanoke County,251.25,368.7,159.7
Rockbridge County,600.97,37.3,18.7
Rockingham County,853.36,89.9,39.6
Russell County,476.75,61,28.5
Scott County,538.64,43.3,22.3
Shenandoah County,512.17,82.5,41
Smyth County,452.29,71.4,34.2
Southampton County,602.33,31,12.5
Spotsylvania County,414.26,304.9,112.5
Stafford County,279.93,479.5,163.5
Surry County,310.31,25.3,12.3
Sussex County,492.83,24.7,9.6
Tazewell County,519.97,86.9,40.1
Warren County,216.74,176,75.1
Washington County,565.99,97.8,45.6
Westmoreland County,252.97,76.1,46.3
Wise County,405.23,102.8,44.5
Wythe County,464.65,63.3,30.5
York County,214.96,624.8,256.2
Alexandria city,15.47,9314.3,4816.4
Bedford city,6.9,904.6,424.5
Bristol city,13.15,1370.6,678.6
Buena Vista city,6.79,992,438
Charlottesville city,10.26,4246.3,1874.2
Chesapeake city,350.86,652,244.1
Colonial Heights city,7.81,2315.3,1041.4
Covington city,5.67,1090.1,560.8
Danville city,43.95,1002.8,522.6
Emporia city,6.97,859.8,372.1
Fairfax city,6.28,3616.6,1391.2
Falls Church city,2,6169.8,2746.2
Franklin city,8.35,1045.8,475.4
Fredericksburg city,10.51,2326.2,1002.6
Galax city,8.28,854.7,394.7
Hampton city,136.3,2673.2,1158.6
Harrisonburg city,17.48,2808.2,1001.5
Hopewell city,10.8,2197.9,984.7
Lexington city,2.52,2820.3,1019.7
Lynchburg city,49.65,1538.2,651.2
Manassas city,9.94,3827.8,1328.1
Manassas Park city,2.53,5633.1,1935.5
Martinsville city,11.01,1261.5,657.6
Newport News city,119.48,2630,1108.9
Norfolk city,96.35,4486.3,1755.7
Norton city,7.52,529.1,260
Petersburg city,23.18,1413.8,711.9
Poquoson city,78.43,793.3,308.6
Portsmouth city,46.73,2838.9,1212.6
Radford city,10.21,1662.2,651.1
Richmond city,62.46,3414.7,1644.5
Roanoke city,42.9,2279.8,1114.9
Salem city,14.54,1718,750.3
Staunton city,20.04,1188.8,587.6
Suffolk city,429.09,211.4,82.6
Virginia Beach city,497.34,1758.9,714.3
Waynesboro city,15.2,1396.8,646.1
Williamsburg city,9.18,1559.3,573.7
Winchester city,9.25,2838.1,1285.9
Washington,71297.95,101.2,43.4
Adams County,1929.85,9.7,3.2
Asotin County,640.64,34,15.5
Benton County,1760,103,40.4
Chelan County,2993.88,24.8,12.1
Clallam County,2670.64,41.1,20.5
Clark County,656.23,676.2,266.2
Columbia County,873.48,4.7,2.5
Cowlitz County,1166.21,89.8,38.1
Douglas County,1848.66,21.1,8.8
Ferry County,2257.32,3.4,2
Franklin County,1265.41,62.9,19.7
Garfield County,718.21,3.2,1.7
Grant County,2791.32,33.3,13.1
Grays Harbor County,2224.41,38.3,18.5
Island County,517.37,376.6,193
Jefferson County,2183.14,16.6,9.9
King County,2306.87,912.9,402.4
Kitsap County,565.92,635.9,271.9
Kittitas County,2332.94,17.8,9.5
Klickitat County,1904.16,10.9,5.2
Lewis County,2436.25,31.4,14.2
Lincoln County,2339.35,4.6,2.5
Mason County,1051.02,63.3,33.9
Okanogan County,5314.79,7.8,4.2
Pacific County,1223.38,22.4,16.7
Pend Oreille County,1425.24,9.3,5.7
Pierce County,1806.44,476.3,194.9
San Juan County,621.06,90.7,76.5
Skagit County,1920.13,67.5,29.7
Skamania County,1683.81,6.7,3.4
Snohomish County,2196.3,341.8,137.3
Spokane County,1780.7,267.2,114.2
Stevens County,2540.75,17.6,8.5
Thurston County,773.5,349.4,149.8
Wahkiakum County,287.18,15.1,7.8
Walla Walla County,1299.02,46.3,18.5
Whatcom County,2503.47,95.5,43
Whitman County,2177.6,20.7,8.9
Yakima County,4311.28,56.6,19.9
West Virginia,24230.04,77.1,36.7
Barbour County,342.85,48.6,23
Berkeley County,321.56,324.4,139.4
Boone County,503.2,49.1,22.1
Braxton County,516.27,28.4,14.5
Brooke County,92.57,269.8,122.9
Cabell County,288.02,342.8,164.3
Calhoun County,280.68,27.3,14.2
Clay County,343.82,27.5,13.4
Doddridge County,320.48,25.7,12.3
Fayette County,668.35,69.6,32.7
Gilmer County,340.08,25.7,10.2
Grant County,480.29,25,13.3
Greenbrier County,1024.51,34.8,18.6
Hampshire County,644.63,37.4,21.4
Hancock County,87.97,371.3,176
Hardy County,584.48,24.1,13.9
Harrison County,416.52,166.1,75.6
Jackson County,471.63,62.9,28.7
Jefferson County,211.67,255.2,105.1
Kanawha County,910.92,214.1,102.7
Lewis County,389.65,42.5,20.7
Lincoln County,438.59,49.7,22.6
Logan County,455.62,81,36.9
McDowell County,534.9,41.5,21.2
Marion County,311.52,182.7,85.7
Marshall County,312.15,108.4,52.1
Mason County,444.72,63.4,30.2
Mercer County,420.72,148.6,71.9
Mineral County,329.22,86.1,39.8
