GEO.id,GEO.id2,GEO.display-label,GC_RANK.target-geo-id,GC_RANK.target-geo-id2,GC_RANK.rank-label,GC_RANK.display-label,GC_RANK.display-label,rescensus42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Rank,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0100000US,,United States,1620000US0636770,636770,72,"United States - Irvine city, California","Irvine city, California",212375,212043,213392,220261,229083,236134,247283,255614,265721,276413,282572
0100000US,,United States,1620000US3451000,3451000,73,"United States - Newark city, New Jersey","Newark city, New Jersey",277140,277107,277158,277540,277590,278152,278991,279629,280628,281014,282090
0100000US,,United States,1620000US3977000,3977000,74,"United States - Toledo city, Ohio","Toledo city, Ohio",287208,287319,287030,285347,283129,282303,280672,279816,278780,276618,274975
0100000US,,United States,1620000US3719000,3719000,75,"United States - Durham city, North Carolina","Durham city, North Carolina",228330,229878,230710,235308,241107,247002,253316,258581,265355,269578,274291
0100000US,,United States,1620000US0613392,613392,76,"United States - Chula Vista city, California","Chula Vista city, California",243916,243923,244656,248339,252457,256819,260069,264490,266610,269429,271651
0100000US,,United States,1620000US1825000,1825000,77,"United States - Fort Wayne city, Indiana","Fort Wayne city, Indiana",253691,253739,254162,256253,257615,259354,260614,262235,263777,265455,267633
0100000US,,United States,1620000US3436000,3436000,78,"United States - Jersey City city, New Jersey","Jersey City city, New Jersey",247597,247639,248363,252910,256148,257243,258794,260332,260626,263401,265549
0100000US,,United States,1620000US1263000,1263000,79,"United States - St. Petersburg city, Florida","St. Petersburg city, Florida",244769,245176,245226,245856,246671,248492,252282,255206,259556,262928,265098
0100000US,,United States,1620000US4841464,4841464,80,"United States - Laredo city, Texas","Laredo city, Texas",236091,235809,236859,241266,245877,249822,253017,255538,258102,259634,261639
0100000US,,United States,1620000US5548000,5548000,81,"United States - Madison city, Wisconsin","Madison city, Wisconsin",233209,233163,233716,236877,239872,243246,245870,248714,252485,255473,258054
0100000US,,United States,1620000US0412000,412000,82,"United States - Chandler city, Arizona","Chandler city, Arizona",236123,236187,236479,236854,237677,239900,240893,243679,247845,253600,257165
0100000US,,United States,1620000US3611000,3611000,83,"United States - Buffalo city, New York","Buffalo city, New York",261310,261372,261301,260706,260176,260041,259584,258339,256960,256430,256304
0100000US,,United States,1620000US4845000,4845000,84,"United States - Lubbock city, Texas","Lubbock city, Texas",229573,229632,230796,233601,236055,239411,244071,247644,251086,253555,255885
0100000US,,United States,1620000US0465000,465000,85,"United States - Scottsdale city, Arizona","Scottsdale city, Arizona",217385,217464,217615,220792,225213,228952,234053,241197,248100,251556,255310
0100000US,,United States,1620000US3260600,3260600,86,"United States - Reno city, Nevada","Reno city, Nevada",225221,225411,225750,227160,229069,231161,234301,238335,242476,247106,250998
0100000US,,United States,1620000US0427820,427820,87,"United States - Glendale city, Arizona","Glendale city, Arizona",226721,226099,226168,229233,233564,236885,240020,243184,246000,247899,250702
0100000US,,United States,1620000US0427400,427400,88,"United States - Gilbert town, Arizona","Gilbert town, Arizona",208453,208387,209435,211418,215880,221598,227294,232401,237137,242465,248279
0100000US,,United States,1620000US3775000,3775000,89,"United States - Winston-Salem city, North Carolina","Winston-Salem city, North Carolina",229617,229634,230033,231847,233867,235741,238508,239696,241656,244373,246328
0100000US,,United States,1620000US3251800,3251800,90,"United States - North Las Vegas city, Nevada","North Las Vegas city, Nevada",216961,216670,216843,218302,221910,225435,228806,232689,236694,240681,245949
0100000US,,United States,1620000US5157000,5157000,91,"United States - Norfolk city, Virginia","Norfolk city, Virginia",242803,242827,242998,243632,246141,245449,246587,246534,245843,244922,244076
0100000US,,United States,1620000US5116000,5116000,92,"United States - Chesapeake city, Virginia","Chesapeake city, Virginia",222209,222306,223550,225332,228075,230330,233380,235168,237591,240327,242634
0100000US,,United States,1620000US4829000,4829000,93,"United States - Garland city, Texas","Garland city, Texas",226876,226910,227355,230078,233775,234783,235761,237331,236500,238560,242507
0100000US,,United States,1620000US4837000,4837000,94,"United States - Irving city, Texas","Irving city, Texas",216290,216285,216867,219877,225812,229053,232736,237358,240086,240834,242242
0100000US,,United States,1620000US1230000,1230000,95,"United States - Hialeah city, Florida","Hialeah city, Florida",224669,224687,225460,230396,232730,234616,235145,236339,236886,239019,238942
0100000US,,United States,1620000US0626000,626000,96,"United States - Fremont city, California","Fremont city, California",214089,214072,214561,217400,221479,224888,228397,231697,233378,234237,237807
0100000US,,United States,1620000US1608830,1608830,97,"United States - Boise City city, Idaho","Boise City city, Idaho",205671,209389,209578,212620,215681,217436,219471,220938,224728,227621,228790
0100000US,,United States,1620000US5167000,5167000,98,"United States - Richmond city, Virginia","Richmond city, Virginia",204214,204327,204256,206325,210741,213815,217003,220847,225332,226968,228783
0100000US,,United States,1620000US2205000,2205000,99,"United States - Baton Rouge city, Louisiana","Baton Rouge city, Louisiana",229493,229422,229369,228595,228834,228280,227774,227044,226397,223948,221599
0100000US,,United States,1620000US5367000,5367000,100,"United States - Spokane city, Washington","Spokane city, Washington",208916,209455,209523,208949,209294,209745,210612,212179,214990,217028,219190
0100000US,,United States,1620000US1921000,1921000,101,"United States - Des Moines city, Iowa","Des Moines city, Iowa",203433,204183,205004,207870,210230,212035,214390,215372,216487,217006,216853
