City,State,id,Estimate!!Total,Estimate!!Total!!No vehicle available,Estimate!!Total!!1 vehicle available,Estimate!!Total!!2 vehicles available,Estimate!!Total!!3 or more vehicles available,"Estimate!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!No vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!1 vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!2 vehicles available","Estimate!!Total!!Car, truck, or van - drove alone!!3 or more vehicles available","Estimate!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!No vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!1 vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!2 vehicles available","Estimate!!Total!!Car, truck, or van - carpooled!!3 or more vehicles available",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!No vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!1 vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!2 vehicles available,Estimate!!Total!!Public transportation (excluding taxicab)!!3 or more vehicles available,Estimate!!Total!!Walked,Estimate!!Total!!Walked!!No vehicle available,Estimate!!Total!!Walked!!1 vehicle available,Estimate!!Total!!Walked!!2 vehicles available,Estimate!!Total!!Walked!!3 or more vehicles available,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!No vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!1 vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!2 vehicles available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!3 or more vehicles available",Estimate!!Total!!Worked at home,Estimate!!Total!!Worked at home!!No vehicle available,Estimate!!Total!!Worked at home!!1 vehicle available,Estimate!!Total!!Worked at home!!2 vehicles available,Estimate!!Total!!Worked at home!!3 or more vehicles available
Henderson, Nevada,1600000US3231900,141791,2280,27013,65238,47260,118180,819,21554,54761,41046,8476,46,1519,3812,3099,1682,886,283,190,323,1969,230,763,751,225,1811,299,274,763,475,9673,0,2620,4961,2092
Hialeah, Florida,1600000US1230000,113080,2581,25997,45945,38557,84025,850,18559,34585,30031,11131,316,2430,4178,4207,3274,685,1001,559,1029,600,0,348,176,76,2374,373,1090,310,601,11676,357,2569,6137,2613
Honolulu,Hawaii,0500000US15003,478090,17048,108291,169110,183641,319768,3054,62605,121817,132292,63822,1281,13506,23763,25272,38577,5720,12492,8625,11740,21722,4508,8782,5316,3116,17733,1938,6462,3588,5745,16468,547,4444,6001,5476
Houston, Texas,1600000US4835000,1078627,41539,320829,453989,262270,832053,7511,239314,372537,212691,112340,5800,37552,40059,28929,43082,18106,13398,7017,4561,22613,3627,10835,6212,1939,21739,4765,6784,7151,3039,46800,1730,12946,21013,11111
Indianapolis, Indiana,1600000US1836003,408058,14922,108469,182215,102452,333950,5398,88480,154367,85705,36302,1982,10904,13942,9474,7747,4667,1755,1004,321,7166,1352,2276,2390,1148,8208,1388,2318,3054,1448,14685,135,2736,7458,4356
Irvine, California,1600000US0636770,128104,1819,24074,74575,27636,95993,832,15269,57441,22451,11210,50,2760,6183,2217,1013,0,341,609,63,5132,342,1349,2626,815,5609,551,2638,1768,652,9147,44,1717,5948,1438
Irving, Texas,1600000US4837000,124455,3292,36203,55623,29337,104403,1110,30091,47323,25879,11083,767,3864,4424,2028,1176,325,268,538,45,1306,586,430,179,111,1423,283,419,561,160,5064,221,1131,2598,1114
Jacksonville, Florida,1600000US1235000,425648,14938,110801,187801,112108,341094,3656,86619,156273,94546,41297,2615,12227,16300,10155,7461,4537,1867,1009,48,6876,1258,2165,2403,1050,9475,2438,2467,2790,1780,19445,434,5456,9026,4529
Laredo, Texas,1600000US4841464,104800,1391,21991,37607,43811,86518,354,17732,32011,36421,11174,191,2216,3196,5571,693,113,111,399,70,1296,526,375,200,195,2548,207,708,1074,559,2571,0,849,727,995
Las Vegas, Nevada,1600000US3240000,300798,9790,70529,123752,96727,238131,2215,51096,102433,82387,26614,794,7376,9310,9134,9948,4278,3309,1385,976,4131,1058,1831,747,495,9506,1061,3724,3949,772,12468,384,3193,5928,2963
Lexington,Kentucky,0500000US21067,165061,6011,39564,77004,42482,130473,1827,28333,64191,36122,15450,948,5683,5217,3602,3412,2067,854,346,145,5152,589,2037,1844,682,3218,580,640,1427,571,7356,0,2017,3979,1360
Lincoln, Nebraska,1600000US3128000,149676,3685,31448,67162,47381,125279,1928,25399,56531,41421,12909,543,2681,6120,3565,2047,440,387,593,627,2894,577,965,991,361,1435,128,668,395,244,5112,69,1348,2532,1163
