City,State,id,UGB?,Total,Commuting,Percent,Public Transport,percent,Estimate!!Total!!No vehicle available,Estimate!!Total!!1 vehicle available,Estimate!!Total!!2 vehicles available,Estimate!!Total!!3 or more vehicles available,"Estimate!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!No vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!1 vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!2 vehicles available","Estimate!!Total!!Car, truck, or van - drove alone!!3 or more vehicles available","Estimate!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!No vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!1 vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!2 vehicles available","Estimate!!Total!!Car, truck, or van - carpooled!!3 or more vehicles available",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!No vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!1 vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!2 vehicles available,Estimate!!Total!!Public transportation (excluding taxicab)!!3 or more vehicles available,Estimate!!Total!!Walked,Estimate!!Total!!Walked!!No vehicle available,Estimate!!Total!!Walked!!1 vehicle available,Estimate!!Total!!Walked!!2 vehicles available,Estimate!!Total!!Walked!!3 or more vehicles available,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!No vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!1 vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!2 vehicles available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!3 or more vehicles available",Estimate!!Total!!Worked at home,Estimate!!Total!!Worked at home!!No vehicle available,Estimate!!Total!!Worked at home!!1 vehicle available,Estimate!!Total!!Worked at home!!2 vehicles available,Estimate!!Total!!Worked at home!!3 or more vehicles available
St. Paul,Minnesota,1600000US2758000,UGB,440120,392182,89.11%,47938,10.89%,8828,42393,65373,34852,101457,486,27158,47757,26056,18911,1422,5777,6597,5115,14699,4828,5054,3644,1173,5450,1266,1699,1342,1143,3820,723,1024,1660,413,7109,103,1681,4373,952
St. Petersburg,Florida,1600000US1263000,,372803,357679,95.94%,15124,4.06%,5119,34508,60523,30655,102274,2417,25683,48277,25897,11163,314,2762,5706,2381,2215,878,594,613,130,2067,575,903,549,40,3280,680,1313,952,335,9806,255,3253,4426,1872
Stockton,California,1600000US0675000,,370183,360705,97.44%,9478,2.56%,2447,24070,47016,51938,103195,1314,19516,39553,42812,14422,385,1891,5596,6550,1343,258,429,340,316,1270,131,565,115,459,2126,249,553,723,601,3115,110,1116,689,1200
Tampa,Florida,1600000US1271000,,534557,511239,95.64%,23318,4.36%,8576,56468,79609,42458,145128,1766,43928,64634,34800,16936,1690,5153,6626,3467,4383,2316,1831,144,92,2757,954,482,1122,199,4519,1088,1160,1628,643,13388,762,3914,5455,3257
Toledo,Ohio,1600000US3977000,,341550,326278,95.53%,15272,4.47%,6264,34352,44534,30316,94328,1585,27316,38964,26463,11078,1937,4074,2997,2070,3008,1381,744,718,165,2368,875,743,469,281,2260,418,878,294,670,2424,68,597,1092,667
Tucson,Arizona,1600000US0477000,,679055,631217,92.96%,47838,7.04%,11793,66055,94826,61365,173903,1431,47000,76666,48806,24686,1599,7905,8019,7163,8146,4031,1848,1608,659,5673,2294,1319,1627,433,10100,1889,3391,2945,1875,11531,549,4592,3961,2429
Tulsa,Oklahoma,1600000US4075000,,543986,529192,97.28%,14794,2.72%,5002,49971,75635,56022,151820,1694,40000,63942,46184,19461,961,5682,6463,6355,752,411,95,143,103,2574,723,884,717,250,4071,974,1144,1000,953,7952,239,2166,3370,2177
Virginia Beach ,Virginia,1600000US5182000,UGB,492616,465069,94.41%,27547,5.59%,5092,38850,105895,82470,31354,91670,69464,19147,2641,4151,5949,6406,1557,423,295,739,100,2879,163,853,836,1027,5204,724,1132,1563,1785,10069,178,1065,5138,3688,,
Washington,DistrictofColumbia,1600000US1150000,,1043547,658175,63.07%,385372,36.93%,92160,160395,82906,29370,127837,5087,62701,42712,17337,18835,1698,8905,6943,1289,121478,47260,49561,18242,6415,42589,21055,15196,5410,928,28619,10373,11826,4576,1844,25473,6687,12206,5023,1557
Wichita,Kansas,1600000US2079000,,538044,525460,97.66%,12584,2.34%,5982,35678,75175,65937,153989,1963,29406,64549,58071,17355,1612,3835,6281,5627,1517,645,670,75,127,2629,1180,496,781,172,2146,400,522,564,660,5136,182,749,2925,1280
Winston-Salem,NorthCarolina,1600000US3775000,,312265,304979,97.67%,7286,2.33%,2627,29372,43119,32909,91666,1118,24955,36892,28701,6810,34,1156,3472,2148,1496,553,830,55,58,1439,205,924,291,19,708,259,283,59,107,5908,458,1224,2350,1876
